原始文件,来源文件夹,原始地区,类型,年份,序号,目标地区/海域,总文章数,写出文章数,政治梗排除文章数,未命中海域文章数,命中关键词,输出文件,状态,原路径
forum_js-2022-01.txt,js,js,forum,2022,1,pr,4,2,0,2,"台山, 珠江",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/forum_pr-2022-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2022-01.txt
website_js-2025-01.txt,js,js,website,2025,1,xm,200,16,1,17,"九龙江, 厦门, 厦门海域, 厦门湾, 大嶝, 大嶝岛, 小嶝, 小嶝岛, 翔安, 金门, 集美",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/website_xm-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2025-01.txt
website_js-2025-01.txt,js,js,website,2025,1,pr,200,130,1,17,"15th National Games, Hong Kong, Hong Kong-Zhuhai-Macao, Hong Kong-Zhuhai-Macao Bridge, Macao, Macau, Zhuhai, 万山, 三色浪花, 三跑, 上川岛, 下川岛, 乐融融, 伶仃洋, 伶仃洋大桥, 出彩人生路, 前海, 十五运, 南沙, 台山, 喜洋洋, 大屿山, 大湾区, 大湾鸡, 头顶三色浪花, 川岛, 广州南沙, 开平, 担杆, 新会, 木棉红, 桂山, 残特, 江门, 沙洲, 活力大湾区, 淇澳, 深中大桥, 深中通道, 深圳湾, 港珠澳, 港珠澳大桥, 湾鸡, 澳门, 珠江, 珠江三角洲, 珠海, 粤港澳, 粤港澳大湾区, 紫荆紫, 莲花绿, 虎门, 虎门大桥, 蛇口, 走地鸡, 追梦大湾区, 香港, 香港国际机场, 黄茅海",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2025-01.txt
website_js-2025-01.txt,js,js,website,2025,1,bb,200,43,1,17,"三娘湾, 北仑河, 北仑河口, 北海, 北部湾, 合浦, 大风江, 广西, 沙田, 涠洲岛, 钦州, 钦州湾, 防城港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/website_bb-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2025-01.txt
website_js-2025-01.txt,js,js,website,2025,1,st,200,33,1,17,"Nan'ao, Nan'ao Island, 南澳, 南澳岛, 妈屿, 榕江, 汕头, 海门, 潮汕, 澄海, 濠江, 青澳湾, 韩江",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/st/website_st-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2025-01.txt
website_js-2025-01.txt,js,js,website,2025,1,lz,200,8,1,17,"徐闻, 湛江, 硇洲, 硇洲岛, 遂溪, 雷州, 雷州湾, 麻章",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/lz/website_lz-2025-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2025-01.txt
website_js-2013-01.txt,js,js,website,2013,1,xm,33,4,0,15,"厦门, 厦门海域, 小嶝, 小嶝岛, 翔安, 金门",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/website_xm-2013-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2013-01.txt
website_js-2013-01.txt,js,js,website,2013,1,pr,33,10,0,15,"三跑, 伶仃洋, 内伶仃, 前海, 港珠澳, 港珠澳大桥, 澳门, 牛头岛, 珠江, 珠江口中华白海豚国家级自然保护区, 珠海, 香港, 香港国际机场",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2013-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2013-01.txt
website_js-2013-01.txt,js,js,website,2013,1,bb,33,3,0,15,"三娘湾, 北部湾, 合浦, 广西, 沙田, 钦州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/website_bb-2013-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2013-01.txt
website_js-2013-01.txt,js,js,website,2013,1,lz,33,1,0,15,"湛江, 雷州, 雷州湾",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/lz/website_lz-2013-01.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2013-01.txt
forum_js-2018-01.txt,js,js,forum,2018,1,xm,36,8,0,12,"厦门, 金门, 集美",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/forum_xm-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2018-01.txt
forum_js-2018-01.txt,js,js,forum,2018,1,pr,36,16,0,12,"下川岛, 伶仃洋, 大屿山, 大湾区, 川岛, 淇澳, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠江三角洲, 珠海, 粤港澳, 粤港澳大湾区, 香港, 香港国际机场",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/forum_pr-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2018-01.txt
forum_js-2018-01.txt,js,js,forum,2018,1,st,36,2,0,12,"南澳, 澄海",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/st/forum_st-2018-01.txt,已写出,/Users/gurumakaza/Downloads/js/forum_js-2018-01.txt
press_js-2019-01.txt,js,js,press,2019,1,xm,6,1,0,1,"厦门, 同安湾",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/press_xm-2019-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2019-01.txt
press_js-2019-01.txt,js,js,press,2019,1,pr,6,3,0,1,"港珠澳, 港珠澳大桥, 珠海",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/press_pr-2019-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2019-01.txt
press_js-2019-01.txt,js,js,press,2019,1,bb,6,1,0,1,"三娘湾, 广西, 钦州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/press_bb-2019-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2019-01.txt
website_js-2025-02.txt,js,js,website,2025,2,xm,201,26,0,36,"九龙江, 厦门, 厦门中华白海豚, 厦门海域, 厦门湾, 厦门白海豚, 同安湾, 大嶝, 大嶝岛, 海沧湾, 翔安, 金门, 集美",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/website_xm-2025-02.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2025-02.txt
website_js-2025-02.txt,js,js,website,2025,2,pr,201,74,0,36,"Hong Kong, Hong Kong-Zhuhai-Macao, Hong Kong-Zhuhai-Macao Bridge, Macao, Macau, Zhuhai, 万山, 乐融融, 伶仃洋, 伶仃洋大桥, 出彩人生路, 前海, 十五运, 台山, 喜洋洋, 外伶仃, 大屿山, 大湾区, 宝安机场, 屯门, 崖门, 开平, 新会, 桂山, 残特, 残运, 江门, 沙洲, 活力大湾区, 淇澳, 深中通道, 深圳湾, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠江三角洲, 珠江口中华白海豚国家级自然保护区, 珠海, 粤港澳, 粤港澳大湾区, 虎门, 虎门大桥, 蛇口, 走地鸡, 追梦大湾区, 香港, 香港国际机场",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/website_pr-2025-02.txt,已写出,/Users/gurumakaza/Downloads/js/website_js-2025-02.txt
